Name,Email,Phone,Address,City,"Date of Birth",Salary,Website,YouTube Video URL,Latitude,Longitude,CustomerID,ProductCode,OrderNumber
"John Doe","john.doe@example.com","123-456-7890","123 Main St","Anytown","1985-03-15",60000,"https://www.example.com/johndoe","https://www.youtube.com/watch?v=dQw4w9WgXcQ",34.0522,-118.2437,"JD12345","PROD-ABC-123",1001
"Jane Smith","jane.smith@mail.net","987-654-3210","456 Oak Ave","Otherville","1992-11-22",75000,"http://mail.net/janesmith","https://youtu.be/abcdefg123",40.7128,-74.0060,"JS67890","PROD-DEF-456",1002
"Peter Jones","peter.jones@domain.org","555-1212","789 Pine Ln","Somecity","1978-07-08",90000,"https://domain.org/peterjones","https://m.youtube.com/watch?v=ghijklm789",51.5074,0.1278,"PJ11223","PROD-GHI-789",1003
"Alice Wonderland","alice.wonder@email.co","(555) 555-1111","777 Dream Rd","Wonderland","2000-01-01",45000,"http://email.co/alicewonderland","https://www.youtube.com/channel/UCxyzChannelID",-33.8688,151.2093,"AW44556","PROD-JKL-012",1004
"Bob The Builder","bob.builder@build.com","+1-800-BUILDER","1 Construction Way","Fixitville","1970-05-10",80000,"https://build.com/bobthebuilder","https://youtube.com/watch?v=mnopqrstu",52.5200,13.4050,"BB77889","PROD-MNO-345",1005
"Charlie Chaplin","charlie.c@silent.film","555-MOVIE","1 Hollywood Blvd","Tinseltown","1889-04-16",120000,"http://silent.film/charliec","https://www.youtube.com/user/YourUsername",37.7749,-122.4194,"CC99001","PROD-PQR-678",1006
"Diana Prince","diana.p@amazon.gov","555-JUSTICE","1 Paradise Island","Themyscira","1941-06-21",95000,"https://amazon.gov/dianaprince","https://youtube.com/?v=stuvwxyzabc",-25.2744,133.7751,"DP22334","PROD-STU-901",1007
"Bruce Wayne","bruce.w@wayne.ent","555-GOTHAM","1 Wayne Manor","Gotham City","1972-02-19",150000,"https://wayne.ent/brucew","https://m.youtube.com/?v=defghijk456",47.6062,-122.3321,"BW55667","PROD-VWX-234",1008
"Clark Kent","clark.k@daily.planet","555-METRO","344 Clinton St","Metropolis","1938-06-18",85000,"https://daily.planet/clarkk","https://youtu.be/?v=lmnopqrstuv",35.6895,139.6917,"CK88990","PROD-YZA-567",1009
"Lois Lane","lois.l@daily.planet","555-NEWS","123 Paper Rd","Newsvilla","1940-08-20",78000,"https://daily.planet/loislane","https://youtube.com/channel/UCAnotherChannelID",55.7558,37.6173,"LL11221","PROD-BCD-890",1010
"Tony Stark","tony.stark@stark.ind","555-IRONMAN","1 Stark Tower","New York City","1970-05-29",200000,"https://stark.ind/tonystark","https://www.youtube.com/watch?v=bcdefghijk",37.7749,-122.4194,"TS33445","PROD-CDE-123",1011
"Pepper Potts","pepper.p@stark.ind","555-RESCUE","2 Stark Industries","Malibu","1976-09-17",180000,"https://stark.ind/pepperp","https://youtu.be/cdefghijklm",40.7128,-74.0060,"PP66778","PROD-EFG-456",1012
"Steve Rogers","steve.r@shield.gov","555-CAPTAIN","1 Avengers Tower","Brooklyn","1918-07-04",150000,"https://shield.gov/stever","https://m.youtube.com/watch?v=defghijklmn",51.5074,0.1278,"SR99002","PROD-FGH-789",1013
"Natasha Romanoff","natasha.r@shield.gov","555-WIDOW","Secret Location","Moscow","1984-12-03",160000,"https://shield.gov/natashar","https://www.youtube.com/channel/UCGHIJKLOP",-33.8688,151.2093,"NR22335","PROD-GHI-012",1014
"Thor Odinson","thor.o@asgard.gov","555-THUNDER","Valhalla","Asgard","990-08-11",170000,"https://asgard.gov/thoro","https://youtube.com/watch?v=efghijklmnop",52.5200,13.4050,"TO55668","PROD-HIJ-345",1015
"Bruce Banner","bruce.b@gamma.sci","555-HULK","Secret Lab","Culver University","1969-12-18",140000,"https://gamma.sci/bruceb","https://www.youtube.com/user/AnotherUsername",37.7749,-122.4194,"BB88991","PROD-IJK-678",1016
"Wanda Maximoff","wanda.m@sokovia.mil","555-SCARLET","Unknown","Sokovia","1989-02-16",155000,"https://sokovia.mil/wandam","https://youtube.com/?v=fghijklmnopqr",-25.2744,133.7751,"WM11222","PROD-JKL-901",1017
"Vision Vision","vision@avengers.org","555-SYNTH","Avengers Compound","Upstate New York","2015-05-01",165000,"https://avengers.org/vision","https://m.youtube.com/?v=ghijklmnopqr",47.6062,-122.3321,"VV44557","PROD-KLM-234",1018
"Nick Fury","nick.f@shield.gov","555-DIRECTOR","SHIELD Helicarrier","International Waters","1950-04-17",250000,"https://shield.gov/nickf","https://youtu.be/?v=mnopqrstuvw",35.6895,139.6917,"NF77880","PROD-LMN-567",1019
"Maria Hill","maria.h@shield.gov","555-AGENT","SHIELD HQ","Washington D.C.","1982-01-18",145000,"https://shield.gov/mariah","https://youtube.com/channel/UCjklmnopqrs",55.7558,37.6173,"MH33446","PROD-MNO-890",1020
"Happy Hogan","happy.h@stark.ind","555-SECURITY","Stark Industries HQ","Los Angeles","1973-12-23",120000,"https://stark.ind/happyh","https://www.youtube.com/watch?v=ghijklmnopqr",34.0522,-118.2437,"HH66779","PROD-NOP-123",1021
"James Rhodes","james.r@usaf.mil","555-WARMCHINE","USAF Base","Various","1968-10-08",175000,"https://usaf.mil/jamesr","https://youtu.be/mnopqrstuva",40.7128,-74.0060,"JR99003","PROD-OPQ-456",1022
"Sam Wilson","sam.w@usaf.mil","555-FALCON","USAF Base","Various","1978-09-29",165000,"https://usaf.mil/samw","https://m.youtube.com/watch?v=nopqrstuvwx",51.5074,0.1278,"SW22336","PROD-PQR-789",1023
"Scott Lang","scott.l@pym.tech","555-ANTMAN","Pym Technologies","San Francisco","1979-04-05",130000,"https://pym.tech/scottl","https://www.youtube.com/channel/UCRSTUVWX",-33.8688,151.2093,"SL55669","PROD-QRS-012",1024
"Hope van Dyne","hope.v@pym.tech","555-WASP","Pym Technologies","San Francisco","1981-07-26",140000,"https://pym.tech/hopev","https://youtube.com/watch?v=qrstuvwxyz",52.5200,13.4050,"HV88992","PROD-RST-345",1025
"Hank Pym","hank.p@pym.tech","555-PYMTECH","Pym Technologies","San Francisco","1940-01-23",220000,"https://pym.tech/hankp","https://www.youtube.com/user/YetAnotherUsername",37.7749,-122.4194,"HP11223","PROD-STU-678",1026
"Janet van Dyne","janet.v@pym.tech","555-QUANTUM","Quantum Realm","Unknown","1942-12-15",190000,"https://pym.tech/janetv","https://youtube.com/?v=rstuvwxyzabc",-25.2744,133.7751,"JV44558","PROD-TUV-901",1027
"T'Challa","tchalla@wakanda.gov","555-WAKANDA","Royal Palace","Wakanda","1978-06-28",210000,"https://wakanda.gov/tchalla","https://m.youtube.com/?v=stuvwxyzabcd",47.6062,-122.3321,"TC77881","PROD-UVW-234",1028
"Shuri","shuri@wakanda.gov","555-INNOVATE","Wakandan Design Group","Wakanda","1998-02-11",185000,"https://wakanda.gov/shuri","https://youtu.be/?v=tuvwxyzabcde",35.6895,139.6917,"SH33447","PROD-VWX-567",1029
"Okoye","okoye@wakanda.gov","555-DORA","Dora Milaje HQ","Wakanda","1985-03-02",155000,"https://wakanda.gov/okoye","https://youtube.com/channel/UCvwxChannelID",55.7558,37.6173,"OK66770","PROD-WXY-890",1030
"Winston Zeddemore","winston.z@ghostbusters.com","555-GHOSTS","Ghostbusters HQ","New York City","1953-02-28",95000,"https://ghostbusters.com/winston","https://www.youtube.com/watch?v=uvwxyzabcdef",34.0522,-118.2437,"WZ99004","PROD-WXY-123",1031
"Peter Venkman","peter.v@ghostbusters.com","555-ECTO-1","Ghostbusters HQ","New York City","1949-09-22",110000,"https://ghostbusters.com/peterv","https://youtu.be/uvwxyzabcdefg",40.7128,-74.0060,"PV22337","PROD-XYZ-456",1032
"Raymond Stantz","raymond.s@ghostbusters.com","555-STAYPUFT","Ghostbusters HQ","New York City","1955-06-12",105000,"https://ghostbusters.com/raymonds","https://m.youtube.com/watch?v=vwxyzabcdefgh",51.5074,0.1278,"RS55670","PROD-YZA-789",1033
"Egon Spengler","egon.s@ghostbusters.com","555-PKE-METER","Ghostbusters HQ","New York City","1944-05-04",115000,"https://ghostbusters.com/egons","https://www.youtube.com/channel/UCyzaChannelID",-33.8688,151.2093,"ES88993","PROD-ZAB-012",1034
"Dana Barrett","dana.b@violin.nyc","555-ZUUL","55 Central Park West","New York City","1950-12-19",90000,"https://violin.nyc/danab","https://youtube.com/watch?v=xyzabcdefghi",52.5200,13.4050,"DB11224","PROD-ABC-345",1035
"Louis Tully","louis.t@lawyer.nyc","555-KEYMASTER","55 Central Park West","New York City","1958-08-02",80000,"https://lawyer.nyc/louist","https://www.youtube.com/user/YetAnotherUsername2",37.7749,-122.4194,"LT44559","PROD-BCD-678",1036
"Janine Melnitz","janine.m@ghostbusters.com","555-RECEPTION","Ghostbusters HQ","New York City","1961-03-29",70000,"https://ghostbusters.com/janinem","https://youtube.com/?v=yzabcdefghij",-25.2744,133.7751,"JM77882","PROD-CDE-901",1037
"Walter Peck","walter.p@epa.gov","555-EPA-GUY","EPA Office","New York City","1952-11-05",125000,"https://epa.gov/walterp","https://m.youtube.com/?v=zabcdefghijk",47.6062,-122.3321,"WP00112","PROD-DEF-234",1038
"Slimer Ghost","slimer@ghosts.nyc","N/A","Ghostbusters HQ","New York City","N/A",0,"https://ghosts.nyc/slimer","https://youtu.be/?v=abcdefghijkl",35.6895,139.6917,"SG33448","PROD-EFG-567",1039
"Gozer the Gozerian","gozer@interdimensional.god","555-GOZER","Interdimensional Portal","New York City","Ancient",999999,"https://interdimensional.god/gozer","https://youtube.com/channel/UCdefghijklmn",55.7558,37.6173,"GG66771","PROD-FGH-890",1040
"Ecto-1 Driver","ecto1@ghostbusters.com","555-ECTO-1","Ghostbusters HQ","New York City","N/A",65000,"https://ghostbusters.com/ecto1","https://www.youtube.com/watch?v=abcdefghijklm",34.0522,-118.2437,"ED99005","PROD-GHI-123",1041
"Stay Puft Marshmallow Man","staypuft@marshmallow.corp","555-STAYPUFT","New York City Streets","New York City","N/A",0,"https://marshmallow.corp/staypuft","https://youtu.be/bcdefghijklmn",40.7128,-74.0060,"SM22338","PROD-HIJ-456",1042
